,latitude,longitude,closest_station
310,51.551232,-0.117711,"['Caledonian Road', 247.138]"
311,51.540682,-0.155535,"['Chalk Farm', 412.255]"
312,51.523195,-0.153615,"['Baker Street', 436.778]"
313,51.541275,-0.190911,"['West Hampstead', 567.034]"
314,51.546497,-0.180368,"['Finchley Road', 104.566]"
315,51.544986,-0.168221,"['Swiss Cottage', 368.454]"
316,51.547703,-0.170366,"['Swiss Cottage', 554.053]"
317,51.523194,-0.153614,"['Baker Street', 436.778]"
318,51.5559,-0.172438,"['Hampstead', 389.226]"
319,51.522341,-0.117451,"['Chesham', 463.263]"
320,51.550279,-0.150715,"['Chalk Farm', 709.86]"
321,51.559594,-0.181488,"['Hampstead', 333.876]"
322,51.544125,-0.171761,"['Swiss Cottage', 185.528]"
323,51.533914,-0.138272,"['Mornington Crescent', 79.737]"
324,51.555835,-0.177325,"['Hampstead', 122.242]"
325,51.551036,-0.180167,"['Finchley Road', 437.65]"
326,51.552709,-0.209265,"['Kilburn', 598.838]"
327,51.551133,-0.17346,"['Hampstead', 624.355]"
328,51.551133,-0.17346,"['Hampstead', 624.355]"
329,51.540629,-0.149842,"['Chesham', 534.454]"
330,51.540027,-0.166674,"['Swiss Cottage', 518.506]"
331,51.540373,-0.137356,"['Camden Town', 347.384]"
332,51.553645,-0.13943,"['Kentish Town', 324.374]"
333,51.525149,-0.161825,"['Marylebone', 344.254]"
334,51.560903,-0.176357,"['Hampstead', 479.053]"
335,51.559196,-0.148781,"['Tufnell Park', 817.748]"
336,51.55787,-0.144522,"['Tufnell Park', 467.985]"
337,51.529304,-0.113173,"['Chesham', 572.741]"
338,51.551798,-0.155789,"['Chesham', 708.656]"
339,51.553275,-0.152498,"['Chesham', 923.374]"
340,51.550279,-0.150715,"['Chalk Farm', 709.86]"
341,51.545746,-0.126679,"['Caledonian Road', 596.089]"
342,51.541955,-0.172774,"['Swiss Cottage', 122.022]"
343,51.538067,-0.148399,"['Camden Town', 444.018]"
344,51.557865,-0.180204,"['Hampstead', 175.04]"
345,51.519377,-0.137674,"['Goodge Street', 178.56]"
346,51.551181,-0.18034,"['Finchley Road', 450.279]"
347,51.549492,-0.167031,"['Belsize Park', 185.157]"
348,51.539548,-0.193042,"['Kilburn Park', 465.058]"
349,51.546193,-0.179629,"['Finchley Road', 178.227]"
350,51.550838,-0.119104,"['Caledonian Road', 233.98]"
351,51.548221,-0.201612,"['Kilburn', 192.085]"
352,51.543773,-0.175531,"['Swiss Cottage', 183.973]"
353,51.533167,-0.136558,"['Mornington Crescent', 194.363]"
354,51.549154,-0.167225,"['Belsize Park', 201.595]"
355,51.525013,-0.159466,"['Baker Street', 337.127]"
356,51.530166,-0.125406,"[""King's Cross St. Pancras"", 323.176]"
357,51.541846,-0.135343,"['Camden Town', 445.362]"
358,51.549564,-0.162766,"['Belsize Park', 139.645]"
359,51.519082,-0.166624,"['Edgware Road (B)', 133.206]"
360,51.557095,-0.193322,"['West Hampstead', 969.738]"
361,51.550899,-0.167188,"['Belsize Park', 211.785]"
362,51.541066,-0.170456,"['Swiss Cottage', 326.985]"
363,51.548628,-0.166403,"['Belsize Park', 212.511]"
364,51.546451,-0.186222,"['West Hampstead', 305.245]"
365,51.557391,-0.193127,"['West Hampstead', 977.04]"
366,51.538281,-0.142579,"['Camden Town', 76.116]"
367,51.5256,-0.158493,"['Baker Street', 419.047]"
368,51.54813,-0.173871,"['Swiss Cottage', 490.648]"
369,51.548198,-0.199593,"['Kilburn', 280.025]"
370,51.54688,-0.131397,"['Kentish Town', 685.825]"
371,51.549246,-0.147759,"['Kentish Town', 537.13]"
372,51.547781,-0.134346,"['Kentish Town', 561.324]"
373,51.547587,-0.134579,"['Kentish Town', 546.488]"
374,51.554916,-0.17383,"['Hampstead', 302.677]"
375,51.523087,-0.157515,"['Baker Street', 46.893]"
376,51.561714,-0.151199,"['Tufnell Park', 1065.603]"
377,51.549564,-0.16268,"['Belsize Park', 142.596]"
378,51.5172027234043,-0.126447361702128,"['Tottenham Court Road', 255.739]"
379,51.5407,-0.1524,"['Chalk Farm', 428.344]"
380,51.5474,-0.1658,"['Belsize Park', 363.314]"
381,51.545065,-0.15579,"['Chalk Farm', 219.205]"
382,51.542185,-0.156307,"['Chalk Farm', 281.754]"
383,51.542119,-0.160204,"['Chalk Farm', 515.764]"
384,51.550148,-0.160518,"['Belsize Park', 324.41]"
385,51.544651,-0.163938,"['Chesham', 525.79]"
386,51.5433,-0.175697,"['Swiss Cottage', 253.31]"
387,51.547111,-0.159896,"['Belsize Park', 405.856]"
388,51.524584,-0.114334,"['Chancery Lane', 539.426]"
389,51.543351,-0.1499,"['Chalk Farm', 224.155]"
390,51.550836,-0.179508,"['Finchley Road', 433.448]"
391,51.545241,-0.186254,"['West Hampstead', 415.21]"
392,51.549525,-0.204026,"['Kilburn', 274.875]"
393,51.543386,-0.188448,"['West Hampstead', 491.437]"
394,51.544505,-0.166684,"['Chesham', 417.243]"
395,51.544052,-0.175807,"['Swiss Cottage', 210.84]"
396,51.525463,-0.129989,"['Chesham', 448.257]"
397,51.548599,-0.168274,"['Belsize Park', 254.995]"
398,51.544052,-0.175807,"['Swiss Cottage', 210.84]"
399,51.548676,-0.172821,"['Swiss Cottage', 557.261]"
400,51.542163,-0.196601,"['Upminster', 567.966]"
401,51.55483,-0.173858,"['Hampstead', 306.519]"
402,51.545241,-0.186254,"['West Hampstead', 415.21]"
403,51.55502,-0.15898,"['Belsize Park', 716.345]"
404,51.546118,-0.14973,"['Chalk Farm', 348.541]"
405,51.541245,-0.137216,"['Camden Town', 335.431]"
406,51.553,-0.164,"['Belsize Park', 535.862]"
407,51.556542,-0.178015,"['Hampstead', 34.658]"
408,51.548982,-0.183365,"['Finchley Road', 366.166]"
409,51.540541,-0.185147,"['Finchley Road', 791.716]"
410,51.514607,-0.124292,"['Covent Garden', 191.071]"
411,51.549551,-0.162731,"['Belsize Park', 141.392]"
412,51.543162,-0.163739,"['Chesham', 586.445]"
413,51.559286,-0.192634,"['West Hampstead', 1161.231]"
414,51.548,-0.184,"['Finchley Road', 409.66]"
415,51.541606,-0.153259,"['Chalk Farm', 395.68]"
416,51.5485,-0.165391,"['Belsize Park', 191.101]"
417,51.558811,-0.178387,"['Hampstead', 203.381]"
418,51.547309,-0.173523,"['Swiss Cottage', 428.505]"
419,51.523456,-0.150822,"[""Regent's Park"", 291.859]"
420,51.553562,-0.161516,"['Belsize Park', 453.194]"
421,51.5494,-0.162894,"['Belsize Park', 140.205]"
422,51.550852,-0.132388,"['Chesham', 473.356]"
423,51.54886,-0.17884,"['Finchley Road', 303.409]"
424,51.54261,-0.172038,"['Swiss Cottage', 120.189]"
425,51.546597,-0.130572,"['Kentish Town', 821.162]"
426,51.553162,-0.18966,"['West Hampstead', 675.164]"
427,51.565241,-0.14718,"['Archway', 934.2]"
428,51.5269,-0.165123,"['Marylebone', 686.985]"
429,51.517811,-0.129751,"['Tottenham Court Road', 193.274]"
430,51.55376,-0.190935,"['West Hampstead', 616.981]"
431,51.539173,-0.1518,"['Chalk Farm', 636.728]"
432,51.545379,-0.163055,"['Belsize Park', 531.647]"
433,51.528479,-0.122682,"[""King's Cross St. Pancras"", 268.565]"
434,51.549057,-0.125293,"['Caledonian Road', 600.234]"
435,51.547983,-0.143136,"['Kentish Town', 377.651]"
436,51.521196,-0.164925,"['Chesham', 292.326]"
437,51.560006,-0.192127,"['Chesham', 1214.801]"
438,51.550678,-0.194247,"['West Hampstead', 463.34]"
439,51.5485,-0.166833,"['Belsize Park', 230.325]"
440,51.550971,-0.135402,"['Kentish Town', 333.955]"
441,51.562042,-0.185948,"['Hampstead', 674.082]"
442,51.553941,-0.165151,"['Belsize Park', 472.665]"
443,51.542144,-0.167741,"['Swiss Cottage', 386.963]"
444,51.5239,-0.157983,"['Baker Street', 245.797]"
445,51.546199,-0.130871,"['Chesham', 874.61]"
446,51.556681,-0.147211,"['Chesham', 674.31]"
447,51.526599,-0.140325,"['Chesham', 353.513]"
448,51.523913,-0.160419,"['Marylebone', 266.675]"
449,51.54384,-0.155646,"['Chalk Farm', 150.305]"
450,51.549398,-0.193459,"['West Hampstead', 369.758]"
451,51.550551,-0.184254,"['Finchley Road', 462.816]"
452,51.548721,-0.202616,"['Kilburn', 226.122]"
453,51.5275,-0.14029,"['Warren Street', 341.104]"
454,51.540565,-0.191515,"['Kilburn Park', 535.374]"
455,51.523061,-0.159444,"['Baker Street', 239.895]"
456,51.543231,-0.172239,"['Swiss Cottage', 92.33]"
457,51.540707,-0.147628,"['Camden Town', 383.22]"
458,51.550738,-0.179487,"['Finchley Road', 425.766]"
459,51.553747,-0.179266,"['Hampstead', 299.985]"
460,51.543665,-0.171436,"['Swiss Cottage', 153.512]"
461,51.547208,-0.141958,"['Kentish Town', 505.666]"
462,51.52328,-0.161367,"['Marylebone', 197.666]"
463,51.553491,-0.187823,"['West Hampstead', 868.335]"
464,51.527053,-0.113568,"['Chesham', 838.474]"
465,51.521741,-0.160832,"['Marylebone', 194.806]"
466,51.522181,-0.140135,"['Chesham', 304.343]"
467,51.546118,-0.14973,"['Chalk Farm', 348.541]"
468,51.540208,-0.145692,"['Camden Town', 263.032]"
469,51.539077,-0.189823,"['Kilburn Park', 430.514]"
